"data","curs"
"21.08.2019",66.784
"20.08.2019",66.6082
"17.08.2019",65.9961
"16.08.2019",65.8907
"15.08.2019",65.2032
"14.08.2019",65.6017
"13.08.2019",65.4287
"10.08.2019",65.2543
"09.08.2019",65.1299
"08.08.2019",65.0932
"07.08.2019",65.203
"06.08.2019",65.0546
"03.08.2019",64.6423
"02.08.2019",63.834
"01.08.2019",63.4172
"31.07.2019",63.3791
"30.07.2019",63.521
"27.07.2019",63.1271
"26.07.2019",63.1572
"25.07.2019",63.1162
"24.07.2019",63.129
"23.07.2019",62.9776
"20.07.2019",62.8666
"19.07.2019",62.8286
"18.07.2019",62.9451
"17.07.2019",62.8129
"16.07.2019",62.828
"13.07.2019",63.0204
"12.07.2019",62.9944
"11.07.2019",63.7988
"10.07.2019",63.766
"09.07.2019",63.8699
"06.07.2019",63.5841
"05.07.2019",63.4013
"04.07.2019",63.4951
"03.07.2019",63.2265
"02.07.2019",63.0541
"29.06.2019",63.0756
"28.06.2019",63.0452
"27.06.2019",62.8083
"26.06.2019",62.5229
"25.06.2019",62.9095
"22.06.2019",63.1295
"21.06.2019",63.3877
"20.06.2019",63.9794
"19.06.2019",64.3352
"18.06.2019",64.3187
"15.06.2019",64.4326
"14.06.2019",64.6314
"12.06.2019",64.5158
"11.06.2019",64.7919
"08.06.2019",65.0395
"07.06.2019",65.234
"06.06.2019",65.1243
"05.06.2019",65.1614
"04.06.2019",65.5547
"01.06.2019",65.3834
"31.05.2019",65.0583
"30.05.2019",64.9084
"29.05.2019",64.5394
"28.05.2019",64.4636
"25.05.2019",64.6106
"24.05.2019",64.4913
"23.05.2019",64.4156
"22.05.2019",64.5372
"21.05.2019",64.4888
"18.05.2019",64.6327
"17.05.2019",64.5598
"16.05.2019",64.8489
"15.05.2019",65.3001
"14.05.2019",65.4703
"09.05.2019",65.2287
"08.05.2019",65.2166
"07.05.2019",65.335
"01.05.2019",64.6314
"30.04.2019",64.6917
"27.04.2019",64.7053
"26.04.2019",64.6794
"25.04.2019",63.9798
"24.04.2019",63.7906
"23.04.2019",63.786
"20.04.2019",63.9602
"19.04.2019",64.0688
"18.04.2019",63.945
"17.04.2019",64.2422
"16.04.2019",64.2469
"13.04.2019",64.5171
"12.04.2019",64.3991
"11.04.2019",64.7373
"10.04.2019",64.7766
"09.04.2019",65.3498
"06.04.2019",65.4072
"05.04.2019",65.3281
"04.04.2019",65.1639
"03.04.2019",65.4726
"02.04.2019",65.4176
"30.03.2019",64.7347
"29.03.2019",64.8012
"28.03.2019",64.5925
"27.03.2019",64.1683
"26.03.2019",64.4993
"23.03.2019",63.7705
"22.03.2019",63.742
"21.03.2019",64.2803
"20.03.2019",64.3167
"19.03.2019",64.6694
"16.03.2019",65.4201
"15.03.2019",65.4021
"14.03.2019",65.589
"13.03.2019",65.7674
"12.03.2019",66.0763
"08.03.2019",65.9646
"07.03.2019",65.843
"06.03.2019",65.8004
"05.03.2019",65.7956
"02.03.2019",65.8145
"01.03.2019",65.8895
"28.02.2019",65.757
"27.02.2019",65.6182
"26.02.2019",65.2582
"23.02.2019",65.5149
"22.02.2019",65.5401
"21.02.2019",65.8568
"20.02.2019",66.2022
"19.02.2019",66.247
"16.02.2019",66.7044
"15.02.2019",66.5429
"14.02.2019",65.6783
"13.02.2019",65.7147
"12.02.2019",65.6517
"09.02.2019",66.0628
"08.02.2019",66.0199
"07.02.2019",65.6686
"06.02.2019",65.5691
"05.02.2019",65.5859
"02.02.2019",65.6601
"01.02.2019",65.3577
"31.01.2019",66.0987
"30.01.2019",66.3412
"29.01.2019",65.93
"26.01.2019",65.917
"25.01.2019",66.0016
"24.01.2019",66.3318
"23.01.2019",66.5499
"22.01.2019",66.3634
"19.01.2019",66.3309
"18.01.2019",66.4438
"17.01.2019",66.7617
"16.01.2019",67.082
"15.01.2019",67.192
"12.01.2019",66.9167
"11.01.2019",66.8605
"10.01.2019",67.0795
"30.12.2018",69.4706
"29.12.2018",69.5218
"28.12.2018",68.8762
"27.12.2018",68.8865
"26.12.2018",68.7448
"25.12.2018",68.4073
"22.12.2018",68.0085
"21.12.2018",67.371
"20.12.2018",67.1121
"19.12.2018",66.7454
"18.12.2018",66.6208
"15.12.2018",66.4337
"14.12.2018",66.255
"13.12.2018",66.4225
"12.12.2018",66.5022
"11.12.2018",66.2416
"08.12.2018",66.9227
"07.12.2018",66.7377
"06.12.2018",66.8242
"05.12.2018",66.4467
"04.12.2018",66.2921
"01.12.2018",66.5335
"30.11.2018",66.6342
"29.11.2018",66.9436
"28.11.2018",66.78
"27.11.2018",66.5072
"24.11.2018",65.6664
"23.11.2018",65.6067
"22.11.2018",65.9485
"21.11.2018",65.5871
"20.11.2018",66.0081
"17.11.2018",65.9931
"16.11.2018",66.6159
"15.11.2018",67.9975
"14.11.2018",67.6812
"13.11.2018",67.5238
"10.11.2018",66.8497
"09.11.2018",66.2155
"08.11.2018",66.0918
"07.11.2018",65.9912
"03.11.2018",65.5799
"02.11.2018",65.6517
"01.11.2018",65.5962
"31.10.2018",65.7742
"30.10.2018",65.8129
"27.10.2018",65.6345
"26.10.2018",65.7476
"25.10.2018",65.6299
"24.10.2018",65.3101
"23.10.2018",65.3065
"20.10.2018",65.814
"19.10.2018",65.7238
"18.10.2018",65.4026
"17.10.2018",65.5305
"16.10.2018",65.7508
"13.10.2018",65.9751
"12.10.2018",66.7727
"11.10.2018",66.1832
"10.10.2018",66.4032
"09.10.2018",66.9685
"06.10.2018",66.627
"05.10.2018",66.2115
"04.10.2018",65.4244
"03.10.2018",65.2221
"02.10.2018",65.5745
"29.09.2018",65.5906
"28.09.2018",65.8355
"27.09.2018",65.7585
"26.09.2018",65.8244
"25.09.2018",66.1594
"22.09.2018",66.2497
"21.09.2018",66.4725
"20.09.2018",67.0098
"19.09.2018",67.7519
"18.09.2018",68.1958
"15.09.2018",68.2826
"14.09.2018",68.637
"13.09.2018",69.5728
"12.09.2018",69.9744
"11.09.2018",69.8685
"08.09.2018",69.0286
"07.09.2018",68.2505
"06.09.2018",68.4628
"05.09.2018",68.2737
"04.09.2018",67.7443
"01.09.2018",68.0447
"31.08.2018",68.0821
"30.08.2018",68.1451
"29.08.2018",67.3911
"28.08.2018",67.3963
"25.08.2018",67.7911
"24.08.2018",68.5259
"23.08.2018",67.6163
"22.08.2018",67.1783
"21.08.2018",67.1807
"18.08.2018",66.8757
"17.08.2018",66.8932
"16.08.2018",66.3772
"15.08.2018",66.7535
"14.08.2018",68.2234
"11.08.2018",66.9075
"10.08.2018",66.2856
"09.08.2018",63.595
"08.08.2018",63.5425
"07.08.2018",63.4975
"04.08.2018",63.4549
"03.08.2018",63.1358
"02.08.2018",62.559
"01.08.2018",62.3497
"31.07.2018",62.7805
"28.07.2018",62.9726
"27.07.2018",62.9471
"26.07.2018",63.0836
"25.07.2018",62.9235
"24.07.2018",63.1957
"21.07.2018",63.4888
"20.07.2018",63.2746
"19.07.2018",62.9006
"18.07.2018",62.4352
"17.07.2018",62.2556
"14.07.2018",62.2934
"13.07.2018",62.2062
"12.07.2018",62.098
"11.07.2018",62.4442
"10.07.2018",62.8338
"07.07.2018",63.1216
"06.07.2018",63.2604
"05.07.2018",63.2267
"04.07.2018",63.2194
"03.07.2018",63.1394
"30.06.2018",62.7565
"29.06.2018",63.291
"28.06.2018",63.1359
"27.06.2018",62.7908
"26.06.2018",62.9497
"23.06.2018",63.2396
"22.06.2018",63.7873
"21.06.2018",63.6175
"20.06.2018",64.0683
"19.06.2018",63.4838
"16.06.2018",62.6851
"15.06.2018",62.2511
"14.06.2018",63.1164
"10.06.2018",62.3431
"09.06.2018",62.668
"08.06.2018",61.8125
"07.06.2018",62.0064
"06.06.2018",61.9822
"05.06.2018",61.929
"02.06.2018",62.2056
"01.06.2018",62.0188
"31.05.2018",62.5937
"30.05.2018",62.642
"29.05.2018",62.271
"26.05.2018",61.6659
"25.05.2018",61.409
"24.05.2018",61.5945
"23.05.2018",61.261
"22.05.2018",62.5327
"19.05.2018",61.9408
"18.05.2018",61.8215
"17.05.2018",62.3033
"16.05.2018",61.9164
"15.05.2018",61.7684
"12.05.2018",61.7354
"11.05.2018",62.5229
"09.05.2018",63.0066
"08.05.2018",62.7148
"05.05.2018",63.2012
"04.05.2018",63.486
"29.04.2018",61.9997
"28.04.2018",62.726
"27.04.2018",62.6027
"26.04.2018",61.7494
"25.04.2018",61.6644
"24.04.2018",61.7655
"21.04.2018",61.3222
"20.04.2018",60.8583
"19.04.2018",61.5539
"18.04.2018",61.1454
"17.04.2018",62.2794
"14.04.2018",61.4311
"13.04.2018",62.0659
"12.04.2018",64.0626
"11.04.2018",62.3699
"10.04.2018",58.5714
"07.04.2018",57.8332
"06.04.2018",57.5796
"05.04.2018",57.7646
"04.04.2018",57.5375
"03.04.2018",57.285
"31.03.2018",57.2649
"30.03.2018",57.7626
"29.03.2018",57.5598
"28.03.2018",57.1747
"27.03.2018",57.0039
"24.03.2018",57.1072
"23.03.2018",56.8391
"22.03.2018",57.4954
"21.03.2018",57.7033
"20.03.2018",57.5521
"17.03.2018",57.4942
"16.03.2018",57.0188
"15.03.2018",56.9372
"14.03.2018",56.9359
"13.03.2018",56.6122
"08.03.2018",56.8011
"07.03.2018",56.5041
"06.03.2018",57.1
"03.03.2018",56.6616
"02.03.2018",56.4334
"01.03.2018",56.3742
"28.02.2018",55.6717
"27.02.2018",55.9208
"23.02.2018",56.7608
"22.02.2018",56.6537
"21.02.2018",56.5201
"20.02.2018",56.3438
"17.02.2018",56.3554
"16.02.2018",56.5918
"15.02.2018",57.5899
"14.02.2018",57.7701
"13.02.2018",58.0171
"10.02.2018",58.1718
"09.02.2018",57.6736
"08.02.2018",56.9533
"07.02.2018",57.2196
"06.02.2018",56.6278
"03.02.2018",56.0408
"02.02.2018",56.2613
"01.02.2018",56.184
"31.01.2018",56.2914
"30.01.2018",56.2908
"27.01.2018",55.8288
"26.01.2018",55.9288
"25.01.2018",56.3888
"24.01.2018",56.4115
"23.01.2018",56.6261
"20.01.2018",56.5892
"19.01.2018",56.7597
"18.01.2018",56.5925
"17.01.2018",56.3878
"16.01.2018",56.3569
"13.01.2018",56.6019
"12.01.2018",56.9957
"11.01.2018",56.8734
"10.01.2018",57.0463
"30.12.2017",57.6002
"29.12.2017",57.6291
"28.12.2017",57.4544
"27.12.2017",57.7343
"26.12.2017",58.1989
"23.12.2017",58.3152
"22.12.2017",58.5596
"21.12.2017",58.717
"20.12.2017",58.6117
"19.12.2017",58.694
"16.12.2017",58.8987
"15.12.2017",58.7082
"14.12.2017",59.1446
"13.12.2017",58.837
"12.12.2017",59.2348
"09.12.2017",59.2811
"08.12.2017",59.2948
"07.12.2017",58.9281
"06.12.2017",58.6924
"05.12.2017",58.9911
"02.12.2017",58.5182
"01.12.2017",58.5814
"30.11.2017",58.3311
"29.11.2017",58.4125
"28.11.2017",58.2773
"25.11.2017",58.5318
